;timestamp;state;settlement_price;open_interest;min_price;max_price;mark_price;last_price;instrument_name;index_price;funding_8h;estimated_delivery_price;current_funding;best_bid_price;best_bid_amount;best_ask_price;best_ask_amount;stats.volume_usd;stats.volume;stats.price_change;stats.low;stats.high;underlying_price;underlying_index;mark_iv;interest_rate;bid_iv;ask_iv;greeks.vega;greeks.theta;greeks.rho;greeks.gamma;greeks.delta;t;strike;expiration;m
BTC-31MAR23-100000-P;1649518280132;open;1.27607041;5.1;0.795;1.7945;1.29473443;1.2195;BTC-31MAR23-100000-P;42363.68;;42363.68;;0.0;0.0;1.282;0.1;;;;;;44674.3;BTC-31MAR23;68.77;0.0;0.0;63.91;122.85412;-11.87658;-912.64416;1e-05;-0.80164;355.0;100000.0;1.6802568e+18;2.3599376976447823
BTC-30SEP22-150000-P;1649518280135;open;2.4542978;0.5;1.959;2.9585;2.45860356;1.93;BTC-30SEP22-150000-P;42363.68;;42363.68;;0.0005;0.1;0.0;0.0;;;;;;43447.58;BTC-30SEP22;84.19;0.0;0.0;0.0;21.87437;-5.30158;-708.30139;0.0;-0.96734;173.0;150000.0;1.664532e+18;3.539906546467173
BTC-31MAR23-25000-P;1649518280133;open;0.0778909;0.1;0.0001;0.5785;0.07857176;0.042;BTC-31MAR23-25000-P;42363.68;;42363.68;;0.0;0.0;0.0;0.0;;;;;;44673.75;BTC-31MAR23;81.21;0.0;0.0;0.0;93.44368;-10.66799;-90.93377;1e-05;-0.13031;355.0;25000.0;1.6802568e+18;0.5899844244111956
BTC-30SEP22-200000-P;1649518280133;open;3.59451143;0.5;3.1055;4.105;3.60548258;3.745;BTC-30SEP22-200000-P;42363.68;;42363.68;;0.0005;0.1;0.0;0.0;;;;;;43447.58;BTC-30SEP22;87.19;0.0;0.0;0.0;9.78038;-2.45493;-949.55576;0.0;-0.98738;173.0;200000.0;1.664532e+18;4.719875395289565
BTC-31MAR23-35000-C;1649518280132;open;0.39947004;0.0;0.0001;0.898;0.39805067;;BTC-31MAR23-35000-C;42363.68;;42363.68;;0.0;0.0;0.0;0.0;;;;;;44674.3;BTC-31MAR23;81.21;0.0;0.0;0.0;137.19737;-15.66312;157.43231;1e-05;0.75968;355.0;35000.0;1.6802568e+18;0.8259781941756738
BTC-29APR22-25000-C;1649518280133;open;0.41255625;81.7;0.0001;0.911;0.41121948;0.0005;BTC-29APR22-25000-C;42363.68;;42363.68;;0.0005;0.1;0.0;0.0;;;;;;42430.36;BTC-29APR22;94.14;0.0;0.0;0.0;1.60623;-3.84032;13.34338;0.0;0.99428;19.0;25000.0;1.6512264e+18;0.5899844244111956
BTC-27MAY22-50000-C;1649518281139;open;0.04987163;510.3;0.0001;0.5275;0.02761089;0.0285;BTC-27MAY22-50000-C;42363.35;;42363.35;;0.0;0.0;0.028;2.5;;24.6;-5.0;0.0285;0.03;42513.84;BTC-27MAY22;57.2;0.0;0.0;57.54;48.61251;-29.15425;12.23539;4e-05;0.24789;47.0;50000.0;1.6536456e+18;1.1799688488223912
BTC-30DEC22-55000-C;1649518281139;open;0.15029225;272.1;0.0001;0.647;0.14712739;0.1485;BTC-30DEC22-55000-C;42363.35;;42363.35;;0.1465;3.6;0.0;0.0;;6.8;0.0;0.1485;0.1485;44082.96;BTC-30DEC22;67.13;0.0;66.94;0.0;148.99584;-18.89318;99.91444;2e-05;0.45967;264.0;55000.0;1.6723944e+18;1.2979657337046302
BTC-30DEC22-20000-C;1649518281139;open;0.58717798;146.7;0.087;1.0865;0.58682105;0.595;BTC-30DEC22-20000-C;42363.35;;42363.35;;0.566;1.0;0.6125;0.3;;24.0;0.0;0.595;0.595;44082.96;BTC-30DEC22;91.47;0.0;73.1;110.32;55.88508;-9.65657;106.4641;0.0;0.91986;264.0;20000.0;1.6723944e+18;0.47198753952895645
BTC-31MAR23-45000-P;1649518281142;open;0.23029866;300.1;0.0001;0.732;0.23245998;0.234;BTC-31MAR23-45000-P;42363.35;;42363.35;;0.0;0.0;0.234;298.8;;;;;;44672.95;BTC-31MAR23;58.69;0.0;0.0;59.1;169.30377;-13.9691;-271.34894;1e-05;-0.39085;355.0;45000.0;1.6802568e+18;1.061971963940152
BTC-31MAR23-200000-C;1649518281139;open;0.01652314;46.1;0.0001;0.511;0.01134221;0.0135;BTC-31MAR23-200000-C;42363.35;;42363.35;;0.0095;12.0;0.0135;3.2;;7.7;0.0;0.0135;0.0135;44673.28;BTC-31MAR23;74.54;0.0;72.55;76.63;43.69087;-4.57818;15.76181;0.0;0.04755;355.0;200000.0;1.6802568e+18;4.719875395289565
